"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-01","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-01","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-17","2023","02","NA","NRSC VIC MODEL"
